"","item400","preferredLabel","worker"
"68","Teacher","Professionals","Knowledge"
"69","Retailer ","Service and sales workers","Skill"
"70","Helpdesk analyst","Professionals","Knowledge"
"71","IT consultant ","Professionals","Knowledge"
"72","Shopkeeper",NA,NA
"73","Asistent of the director","Managers","Knowledge"
"74","Sales Director","Managers","Knowledge"
"75","Real Estate Marketing Assistant","Technicians and associate professionals","Skill"
"76","Administrator ","Technicians and associate professionals","Skill"
"77","Machinist","Craft and related trades workers","Skill"
"78","Ubereats and passengers driver","Plant and machine operators and assemblers","Skill"
"79","Auditor","Technicians and associate professionals","Skill"
"80","Operation's Manager","Managers","Knowledge"
"81","Quality Assurance tester in Game Development","Managers","Knowledge"
"82","Content manager","Managers","Knowledge"
"83","Translator (+helping in the development the website) at an organic microgreen growing and selling company","Professionals","Knowledge"
"84","Teacher","Professionals","Knowledge"
"85","Operator","Plant and machine operators and assemblers","Skill"
"86","Mechanical Engineer","Professionals","Knowledge"
"87","NOC Engineer","Professionals","Knowledge"
